Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

01308/29296: [00816] T | ACTIVE      | 08 B6 DD
01316/29296: [00823] R | ACTIVE      | 50 00 57 CD
01325/29296: [00823] T | HALT        | 
01330/29296: [00829] R | HALT        | 52
01336/29296: [00829] T | READY       | 04 00
01343/29296: [00831] R | READY       | 93 70 FF FF FF FF 00 27 D0
01357/29296: [00831] T | ACTIVE      | 08 B6 DD
01365/29296: [00836] R | ACTIVE      | 60 00 F5 7B
01374/29296: [00836] T | AUTHING     | 01 20 01 45
01383/29296: [00837] R | AUTHING     | C8 AF 6C C6 22 D8 6D F1
01396/29296: [00838] T | IDLE        | 
01401/29296: [00842] R | IDLE        | 50 00 57 CD
01410/29296: [00842] T | HALT        | 
01415/29296: [00854] R | HALT        | 52
01421/29296: [00854] T | READY       | 04 00
01428/29296: [00855] R | READY       | 93 70 FF FF FF FF 00 27 D0
01442/29296: [00855] T | ACTIVE      | 08 B6 DD
01450/29296: [00862] R | ACTIVE      | 50 00 57 CD
01459/29296: [00862] T | HALT        | 
01464/29296: [00866] R | HALT        | 52
01470/29296: [00866] T | READY       | 04 00
01477/29296: [00868] R | READY       | 93 70 FF FF FF FF 00 27 D0
01491/29296: [00868] T | ACTIVE      | 08 B6 DD
01499/29296: [00872] R | ACTIVE      | 60 00 F5 7B
01508/29296: [00873] T | AUTHING     | 01 20 01 45
01517/29296: [00874] R | AUTHING     | 82 C5 DA 2C 12 C9 6D C1
01530/29296: [00875] T | IDLE        | 
01535/29296: [00881] R | IDLE        | 50 00 57 CD
01544/29296: [00881] T | HALT        | 
01549/29296: [00885] R | HALT        | 52
01555/29296: [00885] T | READY       | 04 00
01562/29296: [00887] R | READY       | 93 70 FF FF FF FF 00 27 D0
01576/29296: [00887] T | ACTIVE      | 08 B6 DD
01584/29296: [00892] R | ACTIVE      | 50 00 57 CD
01593/29296: [00892] T | HALT        | 
01598/29296: [00898] R | HALT        | 52
01604/29296: [00898] T | READY       | 04 00
